metric,value
train_period_end,2025-05-05
locked_test_start,2025-05-05
locked_test_end,2026-05-05
locked_train_rows,4535136
locked_test_rows,2311728
threshold_quantile,0.70
threshold_score,0.28343579173088074
active_groups,205
test_groups,1000
active_group_coverage,0.205
non_overlapping_trades,58
starting_equity,50000
final_equity_spy_idle,77873.04329022342
return_spy_idle,0.5574608658044684
return_cash_idle,0.21728488169568383
spy_buy_hold_return,0.2771560236998025
max_drawdown_spy_idle,-0.09997290784458814
trade_profit_rate,0.4482758620689655
trade_beat_spy_rate,0.5
risk_rule,q0.50 | target<=0.75 | h<=120 | pred_alpha>=0.0003
risk_active_groups,143
risk_active_group_coverage,0.143
risk_non_overlapping_trades,57
risk_final_equity_spy_idle,69581.51609543152
risk_return_spy_idle,0.39163032190863034
risk_max_drawdown_spy_idle,-0.07967721157114836
risk_trade_profit_rate,0.5263157894736842
risk_trade_beat_spy_rate,0.5789473684210527
rejected_calibrated_return_spy_idle,0.18907160349048358
rejected_calibrated_max_drawdown_spy_idle,-0.15047702147644956
cost_only_calibrated_return_spy_idle,0.19635416061735755
cost_only_calibrated_max_drawdown_spy_idle,-0.10314558904990519
cap_only_calibrated_return_spy_idle,0.1922885935087244
cap_only_calibrated_max_drawdown_spy_idle,-0.11902967950343944
fixed_q70_cost_cap_return_spy_idle,0.4274756644727229
fixed_q70_cost_cap_final_equity_spy_idle,71373.78322363614
fixed_q70_cost_cap_max_drawdown_spy_idle,-0.11074995716490561
fixed_q70_cost_cap_trades,51
fixed_q70_cost_cap_profit_rate,0.37254901960784315
fixed_q70_cost_cap_beat_spy_rate,0.45098039215686275
fixed_q70_cost_cap_extra_roundtrip_bps,10
fixed_q70_cost_cap_max_trades_per_symbol,3
fixed_q70_cost_cap_symbol_cooldown_days,10
